"x","cdf","gamma","gamma_label","p0"
-3.81333333333333,0.244421923811866,-1.01769180900079,"gamma = -1.018",0.6
-3.8,0.245419595411299,-1.01769180900079,"gamma = -1.018",0.6
-3.78666666666667,0.246419852403494,-1.01769180900079,"gamma = -1.018",0.6
-3.77333333333333,0.247422692800301,-1.01769180900079,"gamma = -1.018",0.6
-3.76,0.248428114547446,-1.01769180900079,"gamma = -1.018",0.6
-3.74666666666667,0.249436115524114,-1.01769180900079,"gamma = -1.018",0.6
-3.73333333333333,0.250446693542538,-1.01769180900079,"gamma = -1.018",0.6
-3.72,0.251459846347575,-1.01769180900079,"gamma = -1.018",0.6
-3.70666666666667,0.252475571616287,-1.01769180900079,"gamma = -1.018",0.6
-3.69333333333333,0.253493866957517,-1.01769180900079,"gamma = -1.018",0.6
-3.68,0.254514729911466,-1.01769180900079,"gamma = -1.018",0.6
-3.66666666666667,0.255538157949261,-1.01769180900079,"gamma = -1.018",0.6
-3.65333333333333,0.256564148472522,-1.01769180900079,"gamma = -1.018",0.6
-3.64,0.257592698812937,-1.01769180900079,"gamma = -1.018",0.6
-3.62666666666667,0.258623806231814,-1.01769180900079,"gamma = -1.018",0.6
-3.61333333333333,0.259657467919651,-1.01769180900079,"gamma = -1.018",0.6
-3.6,0.260693680995692,-1.01769180900079,"gamma = -1.018",0.6
-3.58666666666667,0.261732442507481,-1.01769180900079,"gamma = -1.018",0.6
-3.57333333333333,0.262773749430414,-1.01769180900079,"gamma = -1.018",0.6
-3.56,0.263817598667293,-1.01769180900079,"gamma = -1.018",0.6
-3.54666666666667,0.264863987047873,-1.01769180900079,"gamma = -1.018",0.6
-3.53333333333333,0.265912911328402,-1.01769180900079,"gamma = -1.018",0.6
-3.52,0.266964368191166,-1.01769180900079,"gamma = -1.018",0.6
-3.50666666666667,0.268018354244029,-1.01769180900079,"gamma = -1.018",0.6
-3.49333333333333,0.269074866019965,-1.01769180900079,"gamma = -1.018",0.6
-3.48,0.270133899976593,-1.01769180900079,"gamma = -1.018",0.6
